episode,exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,seed,phase
11,2.397,-17.046824012883008,-5.29674761746489,0.8428571428571429,201.11973617302954,158.76750626138963,0.0,0.0006727283450099461,7.959868141892367e-05,0.0005931296635910225,5.0,42,Direct_M1
12,2.407,-32.79046420613304,-32.758684699999996,1.0,126.73,22.0,0.0,0.00032894214067155994,0.00014553004621885545,0.00018341209445270449,7.0,42,Direct_M1
13,2.362,-11.636729266960174,0.10880697912072157,0.8035714285714286,69.1855407721838,63.93621822891272,0.0,0.0002957222676081365,9.083590602258781e-05,0.00020488636158554868,4.0,42,Direct_M1
14,2.367,-9.623040345031768,10.913612000559587,0.6914857142857143,83.39710927246225,145.91468301644707,0.0,0.0004101942384642381,5.883657029990416e-05,0.0003513576681643339,5.0,42,Direct_M1
15,2.307,-16.218632910400633,-4.464016568224698,0.8690476190476191,217.1790438623923,183.87077004883662,0.0,0.0007652028876872391,0.0001156957958493472,0.0006495070918378919,6.0,42,Direct_M1
16,2.274,-19.28199686271546,4.190915876809883,0.6071428571428572,135.4028416162295,188.3498669523272,0.0,0.0005564768757776823,7.262034810974668e-05,0.00048385652766793567,4.0,42,Direct_M1
17,2.327,-23.58056223904714,-11.808632750275388,0.8428571428571429,104.14547418960291,77.0,0.0,0.0004086052708117349,0.00015102011947372546,0.00025758515133800946,6.0,42,Direct_M1
18,2.317,-19.439355002716184,4.042637799999998,0.7380952380952381,57.72000000000001,82.35,0.0,0.0003170359472333048,0.00011557423690353448,0.00020146171032977027,6.0,42,Direct_M1
19,2.287,-8.010747701395303,4.231327823303292,0.581,70.36000000000001,118.08358619693618,0.0,0.0003654931605184621,5.975298420106149e-05,0.0003057401763174006,3.0,42,Direct_M1
20,2.288,-8.731332870433107,5.45602794782639,0.7642857142857142,115.50107786992004,141.80724136632676,0.0,0.0005714959706876383,0.00013297084199610695,0.00043852512869153133,6.0,123,Direct_M1
21,2.305,-16.287060201633725,7.185852641329278,0.6071428571428572,90.70314470249178,140.7665436237391,0.0,0.00041006649016736617,7.74214101182981e-05,0.000332645080049068,4.0,123,Direct_M1
22,2.286,-6.331728157121688,-6.327187532402177,1.0,54.99071641628419,36.89,0.0,0.00018457559560696013,1.4325416609029664e-05,0.00017025017899793046,1.0,123,Direct_M1
23,2.308,-13.34709750302136,-13.328937300000005,1.0,157.38,101.52,0.0,0.0005516134919254491,8.549460464393417e-05,0.00046611888728151493,4.0,123,Direct_M1
24,2.337,-13.009300787234679,4.098073601321246,0.7755102040816327,147.84161635055474,161.87652148940367,0.0,0.0006398642819368282,0.00015752302392591275,0.00048234125801091543,7.0,123,Direct_M1
25,2.276,-16.766470151022077,-5.0073134313534196,0.8690476190476191,99.37442754467855,78.19929951239897,0.0,0.00035727557416987077,0.00012648398674949645,0.00023079158742037427,7.0,123,Direct_M1
26,2.312,-10.769242194248363,0.9762940575722466,0.8035714285714286,136.6705095069399,121.54430511924636,0.0,0.0005280479581793666,6.81632927580145e-05,0.00045988466542135206,4.0,123,Direct_M1
27,2.261,-20.25606999360025,3.2304623999999933,0.7755102040816327,90.77000000000001,92.52,0.0,0.0004005124186257326,0.00011405501233153173,0.0002864574062942008,7.0,123,Direct_M1
28,2.3,-19.598531113471836,3.998614449004015,0.7193877551020408,204.39000000000001,226.1958072199962,0.0,0.000846030844511889,0.00018949996574071535,0.0006565308787711736,8.0,123,Direct_M1
29,2.303,0.9065390974283218,2.0174386659532266,0.45,27.441960776890397,38.334812780382606,0.0,9.027129393843008e-05,1.0823703001851198e-05,7.944759093657887e-05,1.0,123,Direct_M1
30,2.273,-15.669454607181251,13.150795665002807,0.4303571428571429,95.92171347673974,175.574440492034,0.0,0.0005346078103492843,7.748151474335978e-05,0.0004571262956059244,5.0,123,Direct_M1
31,2.33,-12.035876237787306,0.21600135168865386,0.7485714285714286,113.68407428917571,124.7909353737742,0.0,0.0005362087500981105,0.00010661917342219482,0.00042958957667591565,5.0,123,Direct_M1
32,2.205,-19.495049444027245,3.9778634223455778,0.6071428571428571,87.49807453977833,107.21362688614266,0.0,0.00037479449493563503,7.83343892692997e-05,0.00029646010566633535,4.0,123,Direct_M1
33,2.304,-27.504422484897077,-15.740706480819107,0.9017321428571429,320.65023965351975,242.0,0.0,0.0011445049840531603,0.000151726518817791,0.0009927784652353695,8.0,123,Direct_M1
34,2.277,-35.56163711100817,-23.811561948570734,0.8428571428571429,174.14627335747502,148.5603170409609,0.0,0.0006360241257780227,0.00010092895783235672,0.0005350951679456658,5.0,123,Direct_M1
35,2.196,-16.508769751526415,-4.112571248051756,0.7714489795918367,169.58934592794645,146.97243192374816,0.0,0.0005487404820518988,0.0001280937867340437,0.00042064669531785516,7.0,123,Direct_M1
36,2.28,-4.89566292706877,-4.864729700643406,0.9476190476190477,47.747599215319596,26.034209602550664,0.0,0.00013658843579031476,6.870221196300178e-05,6.788622382731299e-05,3.0,123,Direct_M1
37,2.248,-17.258588184136897,8.850931092492825,0.5680952380952381,159.2611479487103,251.54058527783727,0.0,0.0007945407791209437,9.948910206149884e-05,0.0006950516770594449,6.0,123,Direct_M1
38,2.159,-4.10175347328186,13.49292129232939,0.6071428571428571,127.57999999999998,190.61037503202547,0.0,0.0006619181911879025,8.475546008734757e-05,0.000577162731100555,5.0,123,Direct_M1
39,2.279,-6.381869749166071,-3.6959682134289578,0.8297857142857143,193.87,179.07873386019816,0.0,0.0007306014972308422,8.658705893261427e-05,0.0006440144382982278,6.0,123,Direct_M1
